example_id                                               | status | run_time        |
-------------------------------------------------------- | ------ | --------------- |
./spec/models/dashboard_spec.rb[1:1:1]                   | passed | 0.00108 seconds |
./spec/models/dashboard_spec.rb[1:1:2]                   | passed | 0.00023 seconds |
./spec/models/dashboard_spec.rb[1:1:3]                   | passed | 0.00057 seconds |
./spec/models/dashboard_spec.rb[1:1:4]                   | passed | 0.0028 seconds  |
./spec/models/dashboard_spec.rb[1:2:1]                   | passed | 0.00462 seconds |
./spec/models/dashboard_spec.rb[1:2:2]                   | passed | 0.00394 seconds |
./spec/models/dashboard_spec.rb[1:2:3]                   | passed | 0.00443 seconds |
./spec/models/dashboard_spec.rb[1:2:4]                   | passed | 0.01306 seconds |
./spec/models/dashboard_spec.rb[1:2:5]                   | passed | 0.00254 seconds |
./spec/models/dashboard_spec.rb[1:3:1]                   | passed | 0.00017 seconds |
./spec/models/dashboard_spec.rb[1:3:2]                   | passed | 0.00083 seconds |
./spec/models/dashboard_spec.rb[1:3:3]                   | passed | 0.00015 seconds |
./spec/models/dashboard_spec.rb[1:4:1]                   | passed | 0.00412 seconds |
./spec/models/dashboard_spec.rb[1:5:1:1]                 | passed | 0.00757 seconds |
./spec/models/dashboard_spec.rb[1:5:2:1]                 | passed | 0.00646 seconds |
./spec/models/dashboard_spec.rb[1:6:1]                   | passed | 0.00165 seconds |
./spec/models/user_spec.rb[1:1:1]                        | passed | 0.00185 seconds |
./spec/models/user_spec.rb[1:2:1]                        | passed | 0.00208 seconds |
./spec/models/user_spec.rb[1:3:1]                        | passed | 0.00225 seconds |
./spec/models/user_spec.rb[1:3:2]                        | passed | 0.00183 seconds |
./spec/models/user_spec.rb[1:3:3]                        | passed | 0.0029 seconds  |
./spec/models/user_spec.rb[1:3:4]                        | passed | 0.00469 seconds |
./spec/models/user_spec.rb[1:3:5]                        | passed | 0.00633 seconds |
./spec/models/user_spec.rb[1:3:6]                        | passed | 0.0026 seconds  |
./spec/models/user_spec.rb[1:3:7]                        | passed | 0.00514 seconds |
./spec/models/user_spec.rb[1:3:8]                        | passed | 0.00237 seconds |
./spec/models/user_spec.rb[1:4:1]                        | passed | 0.00328 seconds |
./spec/models/user_spec.rb[1:4:2]                        | passed | 0.00601 seconds |
./spec/models/user_spec.rb[1:5:1]                        | passed | 0.05039 seconds |
./spec/requests/authentication_spec.rb[1:1:1]            | passed | 0.00812 seconds |
./spec/requests/authentication_spec.rb[1:2:1]            | passed | 0.00474 seconds |
./spec/requests/authentication_spec.rb[1:2:2]            | passed | 0.00325 seconds |
./spec/requests/authentication_spec.rb[1:2:3]            | passed | 0.00636 seconds |
./spec/requests/authentication_spec.rb[2:1:1]            | passed | 0.01503 seconds |
./spec/requests/authentication_spec.rb[2:2:1]            | passed | 0.00896 seconds |
./spec/requests/authentication_spec.rb[2:2:2]            | passed | 0.01406 seconds |
./spec/requests/authentication_spec.rb[2:2:3]            | passed | 0.02116 seconds |
./spec/requests/authentication_spec.rb[2:2:4]            | passed | 0.01352 seconds |
./spec/requests/authentication_spec.rb[2:2:5]            | passed | 0.02462 seconds |
./spec/requests/authentication_spec.rb[3:1:1]            | passed | 0.02058 seconds |
./spec/requests/authentication_spec.rb[3:2:1]            | passed | 0.01607 seconds |
./spec/requests/authentication_spec.rb[3:2:2]            | passed | 0.03121 seconds |
./spec/requests/authentication_spec.rb[3:2:3]            | passed | 0.02539 seconds |
./spec/requests/authentication_spec.rb[3:3:1]            | passed | 0.02847 seconds |
./spec/requests/dashboards_spec.rb[1:1:1]                | passed | 0.1593 seconds  |
./spec/requests/dashboards_spec.rb[1:2:1:1]              | passed | 0.01206 seconds |
./spec/requests/dashboards_spec.rb[1:2:1:2]              | passed | 0.02322 seconds |
./spec/requests/dashboards_spec.rb[1:2:1:3]              | passed | 0.00951 seconds |
./spec/requests/dashboards_spec.rb[1:2:1:4]              | passed | 0.02273 seconds |
./spec/requests/dashboards_spec.rb[1:2:2:1]              | passed | 0.01553 seconds |
./spec/requests/dashboards_spec.rb[1:2:2:2]              | passed | 0.0133 seconds  |
./spec/requests/dashboards_spec.rb[1:2:3:1]              | passed | 0.01678 seconds |
./spec/requests/dashboards_spec.rb[1:2:3:2]              | passed | 0.01533 seconds |
./spec/requests/dashboards_spec.rb[1:2:3:3]              | passed | 0.02259 seconds |
./spec/requests/dashboards_spec.rb[1:2:3:4]              | passed | 0.02086 seconds |
./spec/requests/dashboards_spec.rb[1:2:4:1]              | passed | 0.02326 seconds |
./spec/requests/dashboards_spec.rb[1:2:4:2]              | passed | 0.66154 seconds |
./spec/requests/dashboards_spec.rb[1:2:4:3]              | passed | 0.57223 seconds |
./spec/requests/dashboards_spec.rb[1:2:5:1]              | passed | 0.04883 seconds |
./spec/requests/dashboards_spec.rb[1:2:5:2]              | passed | 0.6352 seconds  |
./spec/requests/dashboards_spec.rb[1:2:6:1]              | passed | 0.02838 seconds |
./spec/requests/dashboards_spec.rb[1:2:6:2]              | passed | 0.01751 seconds |
./spec/requests/dashboards_spec.rb[1:2:6:3]              | passed | 0.56993 seconds |
./spec/requests/dashboards_spec.rb[1:2:7:1]              | passed | 0.04859 seconds |
./spec/requests/dashboards_spec.rb[1:2:7:2]              | passed | 0.87441 seconds |
./spec/requests/dashboards_spec.rb[1:2:8:1]              | passed | 0.01271 seconds |
./spec/requests/dashboards_spec.rb[1:2:8:2]              | passed | 0.68152 seconds |
./spec/routing/dashboards_routing_spec.rb[1:1:1]         | passed | 0.00457 seconds |
./spec/routing/dashboards_routing_spec.rb[1:1:2]         | passed | 0.00209 seconds |
./spec/routing/dashboards_routing_spec.rb[1:1:3]         | passed | 0.0108 seconds  |
./spec/routing/dashboards_routing_spec.rb[1:1:4]         | passed | 0.00167 seconds |
./spec/routing/dashboards_routing_spec.rb[1:1:5]         | passed | 0.00271 seconds |
./spec/routing/dashboards_routing_spec.rb[1:1:6]         | passed | 0.0015 seconds  |
./spec/routing/dashboards_routing_spec.rb[1:1:7]         | passed | 0.00091 seconds |
./spec/routing/dashboards_routing_spec.rb[1:1:8]         | passed | 0.00165 seconds |
./spec/routing/dashboards_routing_spec.rb[1:1:9]         | passed | 0.00128 seconds |
./spec/routing/dashboards_routing_spec.rb[2:1]           | passed | 0.00183 seconds |
./spec/routing/dashboards_routing_spec.rb[2:2]           | passed | 0.00186 seconds |
./spec/routing/dashboards_routing_spec.rb[2:3]           | passed | 0.00259 seconds |
./spec/routing/dashboards_routing_spec.rb[2:4]           | passed | 0.00117 seconds |
./spec/routing/dashboards_routing_spec.rb[2:5]           | passed | 0.00086 seconds |
./spec/routing/dashboards_routing_spec.rb[2:6]           | passed | 0.00429 seconds |
./spec/services/clustering_service_spec.rb[1:1:1:1]      | passed | 0.01461 seconds |
./spec/services/clustering_service_spec.rb[1:1:2:1]      | passed | 0.01654 seconds |
./spec/services/clustering_service_spec.rb[1:1:3:1]      | passed | 0.01487 seconds |
./spec/services/clustering_service_spec.rb[1:1:4:1]      | passed | 0.02888 seconds |
./spec/services/clustering_service_spec.rb[1:1:5:1]      | passed | 0.05345 seconds |
./spec/services/clustering_service_spec.rb[1:1:5:2]      | passed | 0.09977 seconds |
./spec/services/clustering_service_spec.rb[1:1:5:3]      | passed | 0.33732 seconds |
./spec/services/clustering_service_spec.rb[1:1:5:4]      | passed | 0.05032 seconds |
./spec/services/clustering_service_spec.rb[1:1:5:5]      | passed | 0.09884 seconds |
./spec/services/clustering_service_spec.rb[1:1:5:6]      | passed | 0.12612 seconds |
./spec/services/clustering_service_spec.rb[1:1:5:7]      | passed | 0.06695 seconds |
./spec/services/clustering_service_spec.rb[1:1:6:1]      | passed | 0.02578 seconds |
./spec/services/cox_regressor_spec.rb[1:1:1]             | passed | 0.00078 seconds |
./spec/services/cox_regressor_spec.rb[1:1:2]             | passed | 0.36026 seconds |
./spec/services/cox_regressor_spec.rb[1:1:3]             | passed | 0.35784 seconds |
./spec/services/cox_regressor_spec.rb[1:1:4]             | passed | 0.36051 seconds |
./spec/services/cox_regressor_spec.rb[1:1:5]             | passed | 0.47075 seconds |
./spec/services/cox_regressor_spec.rb[1:2:1]             | passed | 0.36349 seconds |
./spec/services/cox_regressor_spec.rb[1:2:2]             | passed | 0.3654 seconds  |
./spec/services/cox_regressor_spec.rb[1:3:1]             | passed | 0.55836 seconds |
./spec/services/cox_regressor_spec.rb[1:3:2]             | passed | 0.35626 seconds |
./spec/services/kaplan_meier_calculator_spec.rb[1:1:1:1] | passed | 0.00543 seconds |
./spec/services/kaplan_meier_calculator_spec.rb[1:1:1:2] | passed | 0.00646 seconds |
./spec/services/kaplan_meier_calculator_spec.rb[1:1:1:3] | passed | 0.00605 seconds |
